,Nationality,Birth_date,Status,Laner,Earnings
346,Philippines,"April 25, 2001 (age 21)",Active,Roamer,"$10,682"
347,Philippines,"November 24, 2002 (age 19)",Active,EXP Laner,"$12,062"
348,Philippines,,Retired,,"$24,322"
349,Philippines,"June  8, 2004 (age 18)",Active,Roamer,"$3,772"
350,Philippines,"June 18, 1999 (age 23)",Active,Mid Laner,"$68,907"
351,Philippines,"May 27, 2003 (age 19)",Active,EXP LanerGold Laner,"$9,214"
352,Philippines,"November 19, 1997 (age 24)",Inactive,Roamer,"$28,862"
353,Philippines,"February  8, 2004 (age 18)",Active,Jungler,"$17,052"
354,Philippines,"August  4, 1999 (age 23)",Active,Roamer,"$2,111"
355,Philippines,"October  1, 1996 (age 26)",Active,EXP Laner,"$54,413"
356,Philippines,"March 12, 1995 (age 27)",Active,Mid Laner,"$73,004"
357,Philippines Japan,,Inactive,Mid Laner,"$4,520"
358,Philippines,"December  9, 2002 (age 19)",Active,,"$10,692"
359,Philippines,"October 15, 1999 (age 23)",Active,EXP Laner,"$8,152"
360,Philippines,"April 15, 2003 (age 19)",Active,Jungler,"$8,267"
361,Philippines,"October  6, 2006 (age 16)",Active,Gold Laner,"$4,230"
362,Philippines,"June 24, 2006 (age 16)",Active,EXP Laner,"$8,472"
363,Philippines,"October  3, 2005 (age 17)",Active,Mid Laner,"$5,892"
364,Philippines,"January  3, 2002 (age 20)",Active,Jungler,"$4,351"
365,Philippines,"November 28, 2001 (age 20)",Active,Jungler,"$2,111"
366,Philippines,"July 24, 2003 (age 19)",Active,Mid Laner,"$12,062"
367,Philippines,"November 22, 2003 (age 18)",Active,Mid Laner,"$2,111"
368,Philippines,,Active,Roamer,"$19,955"
369,Philippines,"July 10, 2001 (age 21)",Inactive,Gold Laner,"$17,281"
370,Philippines,"August 13, 2002 (age 20)",Active,EXP Laner,"$2,294"
371,Philippines,"October  6, 2000 (age 22)",Active,Jungler,"$106,043"
372,Philippines,"October 28, 1996 (age 26)",Active,Mid Laner,"$10,920"
373,Philippines,"December  2, 2001 (age 20)",Active,Roamer,"$13,332"
374,Philippines,,Active,Mid Laner,"$18,940"
375,Philippines,"November  2, 1999 (age 22)",Active,Gold Laner,"$4,972"
376,Philippines,"May 29, 1996 (age 26)",Active,Mid LanerRoamer,"$44,664"
377,Philippines,,Retired,Mid Laner,"$25,522"
378,Philippines,"May 12, 1998 (age 24)",Active,Gold Laner,"$46,455"
379,Philippines,,Active,Mid LanerGold Laner,"$16,580"
380,Philippines,"July 25, 2005 (age 17)",Active,Jungler,"$5,892"
381,Singapore,,Active,Mid Laner,"$13,043"
382,Singapore,,Active,EXP Laner,"$2,214"
383,Singapore,,Active,Roamer,"$16,966"
384,Singapore,"November 18, 1999 (age 22)",Active,Gold Laner,"$23,663"
385,Singapore,,Active,Mid LanerCoach,"$12,130"
386,Singapore,,Active,Gold Laner,"$12,989"
387,Singapore,,Retired,Mid Laner,"$10,237"
388,Singapore,"August 30, 2003 (age 19)",Active,,"$3,859"
389,Singapore,"June  8, 2005 (age 17)",Active,Jungler,"$11,792"
390,Singapore,,Active,EXP Laner,"$15,843"
391,Singapore,,Active,Gold Laner,"$5,095"
392,Singapore,,Active,EXP Laner,"$18,245"
393,Singapore,,Active,Gold Laner,"$3,271"
394,Singapore,,Active,Roamer,"$7,052"
395,Singapore,,Active,Roamer,"$11,179"
396,Singapore,"February 24, 1995 (age 27)",Active,EXP Laner,"$5,904"
397,Singapore Japan,"December 23, 1995 (age 26)",Active,Roamer,"$49,980"
398,Singapore,,Active,EXP Laner,"$2,907"
399,Singapore,,Active,Roamer,"$5,095"
400,Singapore,"June 20, 2005 (age 17)",Active,Jungler,"$4,700"
401,Singapore,,Active,Roamer,"$12,683"
402,Singapore,,Retired,Mid LanerRoamer,"$7,442"
403,Singapore,,Active,Mid LanerJungler,"$18,829"
404,Singapore,,Retired,RoamerEXP Laner,"$8,119"
405,Singapore,,Active,Roamer,"$14,443"
406,Singapore,,Active,JunglerGold Laner,"$35,576"
407,Singapore,,Active,RoamerGold Laner,"$6,197"
408,Singapore,,Active,Mid Laner,"$6,446"
409,Singapore,,Retired,Roamer,"$12,761"
410,Singapore,"September  9, 2005 (age 17)",Active,Roamer,"$3,785"
411,Singapore,"June  4, 1996 (age 26)",Active,Jungler,"$18,722"
412,Singapore,,Active,Jungler,"$1,890"
413,Singapore,,Active,Mid Laner,"$5,459"
414,Singapore,,Active,Mid Laner,"$22,091"
415,Singapore,"January 29, 1999 (age 23)",Active,Mid Laner,"$21,998"
416,Singapore,"June 14, 2002 (age 20)",Active,EXP Laner,"$15,306"
417,Singapore,"February 24, 1995 (age 27)",Active,EXP Laner,"$28,013"
418,Singapore,,Retired,Mid LanerJungler,"$8,757"
419,Singapore,,Active,Mid Laner,"$4,414"
420,Singapore,,Active,Mid Laner,"$23,634"
421,Singapore,,Active,Roamer,$685
422,Singapore,,Retired,JunglerMid Laner,"$10,121"
423,Singapore,,Retired,EXP LanerGold Laner,"$8,757"
424,Vietnam,,Retired,Gold Laner,"$2,127"
425,Vietnam,,Retired,Mid Laner,"$4,783"
426,Vietnam,,Retired,Roamer,"$7,282"
427,Vietnam,,Retired,Roamer,"$7,382"
428,Vietnam,,Retired,EXP Laner,"$7,382"
